trial,avg_runtime,success_rate,stopping_reasons,value,tau_p_init,tau_r_init,tau_decay,tau_min_ratio,damping,max_inner_iter,inner_tol,outer_tol_mult,consecutive_tol,verify_every_n
8,40.55261313915253,0.875,"{""early_verification"": 6, ""converged"": 1, ""time_budget"": 1}",59.30064123868942,0.08549411176280804,0.00034937141628197884,0.6583254554283401,4.5635713798208264e-05,0.8663091578833659,137,0.002812566455562705,93.5663248218026,6,31
9,4.291478872299194,1.0,"{""early_verification"": 7, ""converged"": 1}",4.291478872299194,0.0003688336047669505,0.7637489653991311,0.8009270040770528,0.0001514509583721824,0.3427638337743084,156,0.0017826522558134642,23.046317016688338,9,26
10,39.52715939283371,0.875,"{""early_verification"": 5, ""converged"": 2, ""time_budget"": 1}",58.274954587221146,0.13966429376462963,0.05666283307413752,0.8118268475457043,0.0004997539137889355,0.8423424376202573,79,0.019545578290561413,3.0713743220840115,2,29
0,6.912966698408127,0.875,"{""early_verification"": 7, ""converged"": 1}",16.23866206407547,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
1,3.587992161512375,1.0,"{""early_verification"": 7, ""converged"": 1}",3.587992161512375,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
2,15.77359926700592,0.875,"{""early_verification"": 6, ""converged"": 1, ""time_budget"": 1}",20.459032863378525,0.09572625635916743,0.9805156302947775,0.8615032071054569,0.00027803152557785027,0.7224433825702216,163,0.0012172112758475466,2.861056680785486,3,32
3,10.4296934902668,0.875,"{""converged"": 7, ""time_budget"": 1}",15.114710301160812,0.00027089335382138427,0.010913116747420874,0.7150005189014923,9.434967110751789e-05,0.425830290295828,159,0.001901314327577388,61.20379139339556,10,26
4,12.31850865483284,0.875,"{""early_verification"": 6, ""converged"": 1, ""time_budget"": 1}",17.00362855195999,0.08549411176280804,0.00034937141628197884,0.6583254554283401,4.5635713798208264e-05,0.8663091578833659,137,0.002812566455562705,93.5663248218026,6,31
5,4.3053469359874725,1.0,"{""early_verification"": 7, ""converged"": 1}",4.3053469359874725,0.0003688336047669505,0.7637489653991311,0.8009270040770528,0.0001514509583721824,0.3427638337743084,156,0.0017826522558134642,23.046317016688338,9,26
6,11.538786858320236,0.875,"{""early_verification"": 5, ""converged"": 2, ""time_budget"": 1}",16.224382519721985,0.13966429376462963,0.05666283307413752,0.8118268475457043,0.0004997539137889355,0.8423424376202573,79,0.019545578290561413,3.0713743220840115,2,29
7,6.988652586936951,1.0,"{""converged"": 8}",6.988652586936951,0.00028167625929479377,1.4458532006028844,0.8129972370535832,0.000782826344843822,0.01612920669501683,258,0.004681182547153024,2.079310220576088,2,35
8,19.035981565713882,0.875,"{""early_verification"": 7, ""time_budget"": 1}",23.720949679613113,0.0031468343050230947,0.17846278356692322,0.7766372416091682,3.595856040424535e-05,0.9251324896139861,345,0.0011808444698751383,1.2223143983508038,4,20
9,5.620592713356018,1.0,"{""converged"": 8}",5.620592713356018,0.20539052196018368,4.755099956579417,0.6776015179930124,0.0011225126789939394,0.5931769165622212,292,0.0002840418659872455,6.277006602306237,3,18
10,30.251343935728073,0.625,"{""early_verification"": 5, ""time_budget"": 3}",44.30668243765831,4.221371066495353,0.007041506900002616,0.9901546929322893,1.0770715974238674e-06,0.19480190684684023,390,0.00010268675565005215,7.375976084913097,7,50
