r,m,n_eq
4822335,4,8
243,1,4
5103,2,4
1,2,2
27,2,2
729,2,5
1,0,0
64827,6,6
27,3,5
81,5,4
9,1,3
567,3,5
1701,2,4
3969,3,6
11907,5,6
15309,4,6
3,0,1
1,1,3
81,2,4
1,2,2
189,3,3
189,3,2
567,1,3
189,1,4
189,1,4
27,0,1
1701,1,6
9,1,2
4084101,5,8
9,1,3
27,1,3
81,1,2
1701,3,4
1701,8,6
27,2,2
9,0,1
63,1,5
9,2,5
1,1,1
1701,3,5
27,0,1
81,1,3
9,0,3
3,0,1
81,3,4
3,3,4
1,0,1
243,1,4
21,1,4
9,3,3
9,1,1
9,1,4
81,3,5
9,1,2
81,0,3
9,1,2
27,3,2
3,2,3
1701,3,5
9,3,4
63,2,4
9,1,2
243,1,7
81,4,4
27,1,3
1,0,0
7,2,4
9,0,3
189,2,5
63,3,4
1,0,0
567,3,5
243,0,6
9,0,2
27,4,4
3,1,2
81,0,5
243,1,4
1701,2,6
27,1,3
1,1,1
27,1,3
729,6,6
81,0,2
1701,2,4
1,0,1
3,2,1
9,1,2
9,0,3
15309,4,7
81,1,3
243,1,3
81,0,3
21,3,2
27,2,4
27,0,2
189,4,6
1701,7,6
189,1,4
1,0,2
243,2,5
3,1,2
27,1,2
9,1,3
27,1,4
1701,3,5
81,0,4
1,0,1
27,0,4
3,0,3
9,4,3
7,2,2
3,1,2
107163,6,5
9,1,2
9,5,5
9,3,3
243,0,4
81,2,3
1215,1,5
567,4,5
441,4,5
9,2,2
9,1,4
81,1,5
1,0,1
63,3,3
9,4,3
1701,2,5
9,2,2
243,0,4
243,3,5
9,0,2
27,2,3
81,2,4
81,1,4
27,0,2
81,2,2
9,2,5
3,1,3
27,3,3
9,0,2
81,0,2
9,0,2
189,1,4
189,3,5
27,1,4
567,2,3
9,0,3
81,1,3
81,3,3
5103,1,5
243,0,4
194481,4,6
1,0,1
9,1,3
1,0,1
21,1,2
243,0,5
1701,2,5
81,3,4
189,3,3
9,2,3
25515,6,7
20253807,5,6
131274675,10,7
3,2,2
343,3,6
189,2,3
27,2,4
27,1,5
9,0,3
81,1,4
81,0,3
9,0,1
9,4,3
1,1,3
189,4,3
81,4,6
3,1,2
9,2,2
5103,2,4
1,0,6
3,3,3
9,0,2
81,0,2
9,0,2
1029,2,4
567,5,5
27,1,3
9,2,2
1701,3,4
5103,8,6
15309,5,5
81,1,4
9,1,3
27,0,2
1,2,1
1323,5,5
27,3,3
189,1,3
3,1,2
7203,4,4
81,1,2
9,1,3
15309,2,5
9,1,1
3,3,2
1,1,2
567,2,5
9,0,2
81,1,4
81,3,4
49,0,3
81,1,4
1,0,1
27,1,2
81,2,4
243,1,3
27,0,1
9,0,2
27,3,5
81,3,5
81,2,3
63,4,6
7203,2,4
3,0,2
5103,3,4
3,0,3
9,1,2
3,0,2
27,2,4
27,0,4
63,3,3
3,1,2
243,5,6
3969,3,6
81,2,3
189,2,5
729,3,5
9,2,2
27,2,4
9,2,3
1,2,2
81,2,3
3,0,2
27,2,5
8505,2,4
1,0,4
7203,6,5
5103,4,5
3,2,2
567,1,3
3,0,1
5103,2,4
5103,3,4
243,0,4
