Data Source,World Development Indicators,,,
,,,,
Puerto Rico (US),PRI,GDP (current US$),NY.GDP.MKTP.CD,126029527033705
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,313271185085102
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,44458118397.4445
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,13711100000
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,12124739862.5303
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,62787810951925.4
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,6323716355.05009
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,219162637362637
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,382564217988866
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2173835806671.66
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,14251642235.0968
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,4512296631866.32
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1239804533333.33
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,49672435513.1126
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,32808056600.9436
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,547386645891847
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1583964703.75061
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,6971127235.3123
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,35364960000
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,
"Somalia, Fed. Rep.",SOM,GDP (current US$),NY.GDP.MKTP.CD,11967000000
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,90097765959.1114
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1827170966475.93
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1979078503991.37
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,310642066645913
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,822154621.088897
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,4416775112.09627
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,140934076532375
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,72972015197.3859
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,603715224265798
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4858885840.77236
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1797836665.95136
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2167239562.46013
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1745378000
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,19518819751283
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,22233362919728.4
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,6131674441421.64
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,10651180146531
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,526517658841684
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,14204575548.5536
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,51387209872.2994
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,6776899040059.78
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1865608515.41321
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP (current US$),NY.GDP.MKTP.CD,2189893127426.38
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,4512296631866.31
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1979078503991.37
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,25633544529.4849
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,51332285656.5422
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1359123768774.12
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,78844405385.2195
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,53911907086.1525
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,190741262414705
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,30986054597959.2
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,80961511073.5797
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,28750956130731.2
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,114965293466611
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1157207407.40741
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,119802963257783
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,476388230307175
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1117972034.22642
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,110982661180013
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1175749785.65113
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,11197246322588
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,401144998373585
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,25303185342.2511
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,41539411516.4448
